บทคัดย่อ,ประเภทของโปรเจค
โครงงานปริญญานิพนธ์นี้เป็นการสร้างระบบสารสนเทศเพื่อสนับสนุนการพัฒนาหลักสูตรบนอินเทอร์เน็ตโดยผู้ใช้งานสามารถเข้าใช้งานระบบได้โดยแบ่งตามระดับผู้ใช้งานซึ่งระดับของผู้ใช้งานสามารถแบ่งออกได้เป์น4ระดับประกอบไปด้วยAdminหรือผู้ดูแลระบบนักพัฒนาหลักสูตรผู้เชี่ยวชาญและผู้ประกอบการซึ่งแต่ละระดับสามารถจัดการข้อมูลที่แตกต่างกันระบบสารสนเทศเพื่อสนับสนุนการพัฒนาหลักสูตรบนอินเทอร์เน็ตพัฒนาโดยใช้โปรแกรมMySQLในการสร้างฐานข้อมูลและใช้งานร่วมกับภาษาพีเอชพี(PHP)ผลที่ได้จากระบบสามารถทํางานได้ถูกต้องตามขอบเขตที่ได้กําหนดไว,MIS
"ในปัจจุบันภาควิชาครุศาสตร์โยธาคณะครุตาสตร์อุตสาหกรรมมหาวิทยาลัยเทคโนโลยี
 พระจอมเกล้าพระนครเหนือได้เปิดให้บริการงานบริการวิชาการในการทดสอบวัสดุทาง
 วิศวกรรมโยธาทั่วไปซึ่งปัญหาที่พบในระบบงานเก่าคือภาระการกรอกข้อมูลซ้ำซ้อนในหลาย
 เอกสารของเจ้าหน้าที่ความเสี่ยงต่อการผิดพลาดเนื่องจากการคำนวณเงินด้วยมือความยุ่งยาก
 ต่อการจัดการข้อมูลเพื่อสรุปรายงานภาระการติดตามข้อมูลเพิ่มเติมที่เป็นผลมาจากการให้
 ข้อมูลไม่ครบของผู้สั่งจ้างและการขาดแคลนจุดบริการจึงจำเป็นต้องมีระบบงานที่สามารถ
 ตอบสนองต่อความต้องการในการให้บริการได้อย่างมีประสิทธิภาพและรวดเร็วจึงได้เกิด
 แนวคิดจัดทำระบบการให้บริการงานบริการวิชาการโดยชื่อโครงงานระบบการให้บริการงานบริการ
 วิชาการของภาดวิชาครุตาสตร์โยธาโดยใช้Mamboเป็นCMSในการจัดการเว็บไซต์และใช้
 ภาษาPHPร่วมกับฐานข้อมูลMysQLในการพัฒนาระบบขึ้นมาและจากการพัฒนาระบบผล
 ที่ได้ระบบสามารถให้ผู้สั่งจ้างทำการสั่งจ้างผ่านทางเว็บไซต์อีกทั้งยังสามารถตรวจสอบ
 ข้อมูลการสั่งจ้างที่ผ่านมาทั้งหมดได้และในส่วนของเจ้าหน้าที่สามารถทำการรับงานตรวจสอบ
 ข้อมูลการสั่งจ้างพิมพ์รายงานการสั่งจ้างรายงานสรุปยอดและมีระบบจัดการข้อมูลทำให้
 เจ้าหน้าที่สามารถทำการเพิ่มลบและแก้ไขข้อมูลต่างๆของระบบได้ด้วยตนเองเช่นประเภท
 งานบริการวิชาการรายการทดสอบวัสดุเงื่อนไขการคิดค่าบริการและข้อมูลในเอกสารรายงาน
 เป็นต้นซึ่งระบบการให้บริการงานบริการวิชาการของภาควิชาครุศาสตร์โยธามีความครบถ้วนตาม
 ขอบเขตและสามารถอำนวยความสะดวกให้กับผู้สั่งจ้างและเจ้าหน้าที่ได้เป็นอย่างดี",MIS
"โครงงานนี้เสนอระบบกระจายเสียงตามสายอัติโนมัติโดยใช้เทคนิคการตรวจจับการ
 เคลื่อนไหวของวัตถุโดยนำกล้องเว็บแคมมาใช้ในการตรวจจับการเคลื่อนไหวของวัตถุที่เข้ามา
 ซึ่งได้นำไลบราลี่OpenCVเข้ามาใช้ร่วมกับภาษาC++ในการพัฒนาโปรแกรมประมวลผลภาพ
 ในส่วนการเล่นเสียงได้ใช้MCI(MediaControlInterface)ซึ่งเป็นไลบราลี่ที่อยู่ภายในระบบ
 วินโดว์มาใช้ควบคุมการเล่นเสียงและในส่วนของการเก็บข้อมูลตารางสอนได้นำเอาฐานข้อมูล
 MysQLมาใช้เก็บข้อมูล ผลที่ได้ของโครงงานคือโปรแกรมสามารถเลือกไฟล์เสียงที่ต้องการเล่นเข้ามาภายในตัว
 โปรแกรมและควบคุมการเปิดและปิดเสียงได้โดยใช้กล้องเว็บแคมเข้ามาควบคุมการเปิดและปิด
 เสียงได้โดยใช้เทคนิคตรวจจับซึ่งเทคนิคการตรวจจับมี3กระบวนการให้เลื่อกใช้ด้วยกันคือ
 กระบวนการตรวจสอบความสว่างของแสงโดยนับค่าIntensity,กระบวนการตรวจสอบสีผิว
 มนุษย์และกระบวนการตรวจสอบวัตถุที่เคลื่อนไหวที่เข้ามาภายในกล้องซึ่งการนำมา
 ประยุกต์ใช้ภายในห้องเรียนนั้นได้ทำการติดตั้งกล้องไว้หลังห้องแล้วทำการตรวจจับสิ่งที่
 เคลื่อนไหวเข้ามาอาทิคนเดินอาจารย์ผู้สอนจากนั้นทำการดวบคุมการเปิดและปิดเสียงตาม
 เงื่อนไขที่ได้ตั้งไว้",MIS
"โครงงานเว็บไซต์จรรยาบรรณวิชาชีพครูจัดทำขึ้นเพื่อใช้เป็นสื่อในการนำเสนอเนื้อหา
 เกี่ยวกับจรรยาบรรณวิชาชีพครูซึ่งประกอบด้วยความหมายความสำคัญลักษณะของจรรยาบรรณ
 จรรยามารยาทครูจรรยาบรรณ์ของนักเรียนนักศึกษาและธรรมะที่สอดคล้องกับจรรยาบรรณต่างๆ
 ให้กับบุคคลที่ประกอบอาชีพครูหรือบุคคลทั่วไปได้ทราบถึงข้อปฏิบัติที่ถูกต้องเว็บไซต์
 จรรยาบรรณวิชาชีพครูนี้นำเสนอข้อมูลในรูปแบบของสื่อมัลติมีเดียและเพิ่มความน่าสนใจด้วย
 ภาพเคลื่อนไหวที่พัฒนามาจากโปรแกรมFlashและไฟล์วีดีโอเพื่อนำเสนอตัวอย่างไฟล์มัลติมีเดีย
 ที่เกี่ยวข้องกับจรรยาบรรณวิชาชีพครูและสาระข่าวเกี่ยวกับจรรยาบรรณต่างๆพร้อมทั้ง
 แบบทดสอบเพื่อใช้ประเมินจรรยาบรรณวิชาชีพครู ผลการดำเนินงานสร้างเว็บไซค์จรรยาบรรณวิชาชีพครูได้ผลเป็นไปตามขอบเขตที่วางไว้ซึ่ง
 การนำเสนอนี้ประกอบด้วยในส่วนของเอกสารที่สามารถศึกษาได้ในหน้าเว็บเพจและยังเป็นเว็บไซต์
 ที่นำเสนอให้ง่ายต่อการใช้งานซึ่งจะอำนวยความสะดวกต่อผู้ใช้มากกว่าการค้นหาจากหนังสือ",WBI
"โครงงานการพัฒนาระบบบริหารงานซ่อมบำรุงและให้ความรู้แบบออนไลน์กรณีศึกษา
 แผนกวิศวกรรมบริษัทไทยทรานสมิชชั่นอินดัสทรีจำกัดเป็นโครงงานที่จัดทำขึ้นเพื่อ
 แก้ปัญหาระบบการแจ้งซ่อมของบริษัทซึ่งใช้วิธีการกรอกข้อมูลส่งผ่านe-mailหรือโทรศัพท์
 แจ้งซ่อมซึ่งทั้งสองวิธีนี้อาจทำให้เกิดการผิดพลาดในกระบวนการสื่อสารข้อมูลระหว่าง
 ช่างเทคนิคและผู้ดูแลระบบผู้จัดทำเกิดแนวคิดที่นำเทคโนโลยีอินเทอร์เน็ตมาแก้ไขปัญหาของ
 ระบบดังกล่าวซึ่งโครงงานนี้จะมีข้อมูลที่จำเป็นสำหรับการแจ้งซ่อมเช่นหมายเลขเครื่อง
 หมายเลขโครงงานและระยะเวลาประกันสินค้าทำให้สามารถตัดปัญหาในเรื่องความผิดพลาดใน
 กระบวนการสื่อสารข้อมูลระหว่างช่างเทคนิคและผู้ดูแลระบบโดยภายในโครงงานแบ่งเป็น2
 ส่วนคือส่วนผู้ดูแลระบบมีสิทธิ์ในการปิดงานจัดการข้อมูลผู้ใช้จัดการข้อมูลโครงการจัดการ
 ข้อมูลเกี่ยวกับคอมพิวเตอร์จัดการข้อมูลวิธีการซ่อมและดูสรุปรายงานส่วนช่างเทคนิคมีสิทธิ์
 ในการแจ้งซ่อมแจ้งปิดงานค้นหาวิธีการซ่อมแก้ไขข้อมูลส่วนบุคคลและดูสรุปรายงาน
 ผลการดำเนินงานในการสร้างโครงงานนี้ใช้วิธีการจำลองการทำงานที่เสมือนกับ
 การทำงานของช่างเทคนิดและผู้ดูแลระบบขึ้นมาเพื่อทดสอบ-ใช้งานโปรแกรมในส่วนต่างๆ
 ซึ่งสามารถใช้ได้ตรงตามขอบเขตของปริญญานิพนธ์ที่กำหนดไว้ทุกประการ",MIS
"เนื่องจากประเทศไทยกับประเทศกัมพูชามีพื้นที่ติดต่อกันและมีการไปมาหาสู่กันอยู่
 ตลอดเวลาทั้งในด้านการค้าและการท่องเที่ยวดังนั้นการสื่อสารพูดคุยจึงมีความจำเป็นอย่าง
 ยิ่งสำหรับประชาชนที่มีการติดต่อกันระหว่างสองประเทศและด้วยเหตุที่ประเทศไทยมี
 สถาบันการศึกษาที่มีการเรียนการสอนภาษาเขมรค่อนข้างน้อยทางผู้จัดทำจึงได้จัดทำโครงงาน
 นี้เพื่อเป็นประโยชน์สำหรับนักเรียนนักศึกษาและผู้สนใจทั่วไปได้ทราบถึงประวัติของภาษา
 เขมรและได้ศึกษาเกี่ยวกับสระพยัญชนะและเครื่องหมายของภาษาเขมรคำศัพท์ภาษาเขมร
 รวมถึงได้ฝึกสนทนาภาษาเขมรที่จำเป็นต้องใช้ในชีวิตประจำวันตามบทสนทนาต้นแบบทั้ง
 สำเนียงสุรินทร์และสำเนียงกัมพูชาโดยการนำเสนอในรูปแบบของเว็บไซต์เพื่อช่วยอำนวย
 ความสะดวกสำหรับผู้ที่สนใจศึกษาภาษาเขมรเบื้องต้นแต่ขาดทุนทรัพย์หรือไม่สะดวกที่จะไป
 เรียนในสถาบันสอนภาษาเขมรสามารถเรียนภาษาเขมรเบื้องต้นจากโครงงานนี้ได้จากเครื่อง
 คอมพิวเตอร์ส่วนตัวและผู้เรียนยังสามารถนำความรู้จากโครงงานนี้ไปประยุกต์ใช้ใน
 ชีวิตประจำวันกับคนที่พูดภาษาเขมรหรือสามารถนำพื้นฐานภาษาเขมรจากโครงงานไปศึกษา
 ต่อยอดภาษาเขมรระดับสูงขึ้นไปได้",WBI
"ปริญญาบิพนธ์เรื่องนี้มีวัตถุประสงค์เพื่อสร้างเกมตะลุยศัพท์ภาษาไทยเป็นแนวเกมลับสมอง
 (Puzzle)เนื้อหาในเกมประกอบด้วยคำศัพท์กายาไทยที่มักถูกใช้ผิดซึ่งเกมนี้มี4ด่านคือ1)ด่าน
 สนุกคิดสนุกเขียน2)ด่านคำถูกคำผิด3)ด่านปริศนาอักษรไขว้4)ด่านบันไดงูในแต่ละด่านผู้
 เล่นจะต้องตอบคำถามเกี่ยวกับการเขียนการสะกดและความหมายของคำศัพท์ภาษาไทยที่ได้รับ
 จากโจทย์ให้ถูกต้อง
 ผลการดำเนินงานผู้จัดทำโครงการได้ทดสอบฟังก์ชั่นการทำงานของโปรแกรมตามเนื้อเรื่อง
 ในแต่ละฉากและความถูกต้องของคำศัพท์ในแต่ละด่านซึ่งสามารถใช้งานได้จริงตามวัตถุประสงค์
 ที่ได้ตั้งเอาไว้",CAI
"บทเรียนคอมพิวเตอร์ช่วยสอนเรื่องการใช้โปรแกรมFlashเพื่อพัฒนาเกมการศึกษา
 จัดทำขึ้นเพื่อเป็นแหล่งตึกษาเรียนรู้เกี่ยวกับการสร้างเกมการศึกษาด้วยโปรแกรมFlash
 สำหรับบุคคลทั่วไปบทเรียนคอมพิวเตอร์ช่วยสอนเรื่องการใช้โปรแกรมFlashเพื่อพัฒนาเกมการศึกษาเป็น
 บทเรียนe-Learningที่มีการจัดการหลักสูตรด้วยระบบLeamSquareที่มีเนื้อหาบทเรียน
 ทั้งหมด9บทได้แก่บทที่1โปรแกรมMacromediaFlash8บทที่2การใช้งานAcrionScript
 2.0บทที่3ชนิดของเกมที่สร้างจากโปรแกรมMacromediaFlashและบทที่4-9การสร้างเกม
 ประเภทต่างๆโดยใช้โปรแกรมMacromediaDreamweaver8ในการพัฒนาเนื้อหาบทเรียนให้
 อยู่ในรูปแบบไฟล์เว็บเพจและใช้โปรแกรมMacromediaFlash8สร้างเกมตัวอย่างโดยมีการ
 นำเสนอในรูปแบบวิดีโอโดยผู้เรียนต้องทำการสมัครสมาชิกและล็อกอินเข้าสู่ระบบเพื่อ
 ลงทะเบียนเรียนโดยสามารถใช้ระบบเพื่อนร่วมห้องเพื่อดูสถานะผู้เข้าเรียนในห้องเรียนและ
 ระบบเว็บบอร์ดเพื่อการซักถามแนะนำหรือแลกเปลี่ยนดวามคิดเห็นกับผู้สอนและผู้เรียนคน
 อื่นๆที่เรียนหรือสอนหลักสูตรนี้ผู้สอนสามารถสร้างและปรับปรุงแก้ไขบทเรียนรวมถึงการ
 สร้างและแก้ไขแบบทดสอบเพื่อทดสอบความรู้ความเข้าใจของผู้เรียนพร้อมทั้งให้คำแนะนำและ
 ช่วยเหลือผู้เรียนเมื่อเกิดปัญหาหรือข้อสงสัยในหลักสูตร
 จากการทดสอบการทำงานของบทเรียนพบว่าบทเรียนสามารถใช้งานได้ตรงตาม
 วัตถุประสงค์และขอบเขตของโครงงานที่กำหนดไว้ทุกประการ",CAI
"ปัจจุบันเว็บไซค์เป็นสื่อกลางที่มีความสำคัญสามารถนำเสนอข้อมูลข่าวสารได้อย่างรวดเร็ว
 มีความสะดวกประหยัดค่าใช้จ่ายมีผู้เยี่ยมชมตลอดเวลาสำหรับข้อมูลด้านอุปกรณ์เน็ตเวิร์ค
 ผู้ใช้งานส่วนใหญ่มีความต้องการทางด้านการติดตั้งการเชื่อมต่อและการเปรียบเทียบคุณสมบัติ
 ของอุปกรณ์เน็ตเวิร์คสำหรับการจัดทำเว็บไซค์เพื่อให้ข้อมูลด้านอุปกรณ์เน็ตเวิร์คจึงได้มีการ
 พัฒนาขึ้นเพื่อให้ข้อมูลด้านอุปกรณ์เน็ดเวิร์คการติดตั้งการเชื่อมต่อและการเปรียบเทียบ
 คุณสมบัติของอุปกรณ์เน็ตเวิร์คโดยการนำเอาสคริปPHPMySQLและได้มีการนำเทคโนโลยื
 RSS(RcallySimpleSyndication)เข้ามาเป็นส่วนประกอบของเว็บไซค์ในการทำหน้าที่ส่งข่าว
 หรือข้อมูลใหม่ๆที่เกี่ยวกับบทความวิชาการทางด้านคอมพิวเตอร์และเทคโนโลยีที่ทันสมัยให้
 เว็บไซต์ตลอดเวลาซึ่งมีการปรับปรุงไม่ต้องเสียเวลาเปิดเว็บไซต์เข้ามากันหา
 เว็บไซต์เพื่อให้ข้อมูลด้านระบบเน็ตเวิร์คแบ่งระดับผู้ใช้งาน2ระดับได้แก่ผู้ดูแลระบบ
 และผู้ใช้ทั่วไปโดยผู้ดูแลระบบสามารถปรับปรุงข้อมูลและจัดการข้อมูลต่างๆภายในเว็บไซต์
 ส่วนผู้ใช้ทั่วไปสามารถเรียกดูบทความวิชาการรายการอุปรณ์เน็ตเวิร์คการติดตั้งอุปกรณ์
 การเชื่อมต่ออุปกรณ์และสามารถทำการเปรียบเทียบคุณสมบัติอุปกรณ์เน็ตเวิร์คได้ซึ่งผลการจัดทำ
 ว็บไซด์เพื่อให้ข้อมูลด้านอุปกรณ์เน็ตเวิร์คในส่วนการจัดการข้อมูลของผู้ดูแลระบบและ
 การเรียกดูข้อมูลของผู้ใช้ทั่วไปสามารถใช้งานได้จริง",WBI
"เกมกล่องมหาสนุกบนโทรศัพท์มือถือเป็นเกมประเภทลับสมอง(Puzzle)ร่วมกับรูปแบบ
 ของการนำเสนอในเกมBoardทำให้ผู้เล่นได้ฝึกความคิดทั้งทางด้านการแก้ไขปัญหาและทักษะ
 ทางด้านการคำนวณระหว่างกล่องกับกระดานเพื่อให้ในการพลิกกล่องนั้นมีจำนวนของการพลิก
 ที่น้อยที่สุดอีกทั้งการทายคำศัพท์หลังจากจบการเล่นเกมพลิกกล่องซึ่งสามารถทายคำศัพท์ได้
 จำนวน3ครั้งนอกจากจะได้รับความสนุกสนานความเพลิดเพลินแล้วยังได้รับความรู้และการ
 ฝึกทักษะอีกด้วยเกมกล่องมหาสนุกนี้อยู่ในรูปแบบของเกมบนโทรศัพท์มือถือเพื่อตอบสนอง
 ความต้องการของผู้เล่นด้านความสะดวกในการพกพาและสามารถเล่นยามว่างได้ตลอดเวลา
 เกมที่จัดทำขึ้นมีลักษณะเป็นเกมแบบ2มิติโดยใช้มุมมองแบบไอโซเมตริก(Isometric)
 อาศัยหลักการเขียนเกมของภาษาJ2MEโดยมีConfigurationกลุ่มCLDCเป็นตัวระบุVirtual
 Machineและโปรไฟล์MIDPกำหนดกลุ่มของAPIเพิ่มเติมจากConfigurationเพื่อใช้รองรับ
 การทำงานบนโทรศัพท์มือถือซึ่งJ2MEเป็นภาษาที่เหมาะสำหรับโปรแกรมบนโทรศัพท์มือถือ
 เพราะโทรศัพท์มือถือส่วนใหญ่รองรับโปรแกรมจาวา(J2ME)อีกทั้งยังใช้หน่วยความจำที่น้อย
 โดยในการทดสอบโปรแกรมมีการทดลองจากอีมูเลเตอร์ก่อนเพื่อตรวจสอบการดำเนินการและ
 แก้ไขข้อผิดพลาดจากนั้นจึงนำไปทดสอบบนโทรศัพท์มือถือ
 ผลการจัดทำเกมกล่องมหาสนุกบนโทรศัพท์มือถือซึ่งจะประกอบด้วยเกมพลิกกล่องและ
 เกมทายคำศัพท์สามารถติดตั้งและทำงานได้ดีบนโทรศัพท์มือถือทุกรุ่นที่รองรับการทำงานของ
 โปรแกรมจาวาที่มีCLDCเวอร์ชั่น1.1และMIDPเวอร์ชั่น2.0",CAI
"ปริญญานิพนธ์นี้มีวัตถุประสงค์เพื่อพัฒนาระบบออกรายงานตารางขบวนวิชาคณะครุศาสตร์
 อุตสาหกรรมเพื่อช่วยในออกรายงานตารงขบวนวิชาซึ่งได้แก่ตารางเรียนตารางผู้สอนและตาราง
 การใช้ห้องซึ่งเกี่ยวข้องกับคณะครุศาสตร์อุตสาหกรรมทั้งในส่วนของอาจารย์นักศึกษาและการใช้
 ห้องเรียนห้องปฏิบัติการต่างๆเพื่ออำนวยความสะดวกในการใช้งานและตรวจสอบความถูกต้อง
 กรณีที่ข้อมูลมีการซับซ้อนกันผู้ใช้สามารถใช้ตารางอื่นๆช่วยในการเปรียบเทียบเพื่อตรวจสอบได้
 เช่นข้อมูลการใช้ห้องเรียนของนักศึกษา2ห้องซ้ำกันวิธีการตรวจสอบคือตรวจสอบในตารางการ
 ใช้ห้องหรือตรวจสอบจากตารางผู้สอนนอกจากนี้ระบบออกรายงานตารางขบวนวิชาคณะครุศาสตร์
 อุตสาหกรรมสามารถคัดกรองข้อมูลตามความต้องการของผู้ใช้ได้โดยตรงเพื่อลดความซับช้อนและ
 แก้ปัญหาการค้นหาข้อมูลต่างๆจากระบบเพราะระบบจะแสดงหัวข้อของข้อมูลที่เกี่ยวข้องในตาราง
 นั้นเพื่อให้ผู้ใช้ได้เลือกเฉพาะข้อมูลที่ต้องการซึ่งข้อมูลที่ได้โปรแกรมTimetableจะนำมาจัดวางลง
 รูปแบบฟอร์มตารางที่ออกแบบเป็นลักษณะกราฟิกและพิมพ์ออกรายงานบนหน้ากระดาษโดย
 โปรแกรมTimetableทำการPrintformส่วนของหน้าตารางเพื่อออกรายงานไปยังเครื่องพิมพ์",MIS
"ปริญญานิพนธ์มีวัตถุประสงค์เพื่อการพัฒนาระบบสารสนเทศงานฝึกอบรมของภาควิชา
 คอมพิวเตอร์ศึกษาเพื่อรองรับงานฝึกอบรมของภาควิชาคอมพิวเตอร์ศึกษาและอำนวยความ
 สะดวกแก่ผู้ใช้ระบบงานฝึกอบรมโดยมีการนำเอาเทคโนโลยีสารสนเทศทางด้านคอมพิวเตอร์และ
 เทคโนโลยีเครือข่ายอินเทอร์เน็ตเข้ามาประยุกต์ใช้กับการพัฒนาระบบเพื่อให้การทำงานมีความ
 สะดวกสร้างความเป็นระเบียบในการจัดเก็บช้อมูลงานฝึกอบรมสามารถสืบค้นข้อมูลได้รวดเร็ว
 และลดปริมาณวัสดุสิ้นเปลืองต่างๆซึ่งระบบได้แบ่งสิทธิ์การใช้ของผู้ใช้ออกเป็น4กลุ่มคือผู้เข้า
 ฝึกอบรมผู้ดูแลระบบผู้บริหารและเจ้าหน้าที่ผู้ใช้งานแต่ละกลุ่มจะมีสิทธิ์ในการเข้าถึงข้อมูล
 แตกต่างกันตามความรับผิดชอบโดยระบบจะทำการตรวจสอบผู้ใช้งานในแต่ละระดับเพื่อการ
 ทำงานของระบบข้อมูลเป็นไปอย่างมีประสิทธิภาพมากยิ่งขึ้นโดยผลการดำเนินงานของการพัฒนา
 ระบบสารสนเทศงานฝึกอบรมของภาควิชาคอมพิวเตอร์ศึกษาพบว่าโปรแกรมทำงานได้ตาม
 วัตถุประสงค์และขอบเขตที่กำหนดไว้แต่ยังต้องพัฒนาต่อไปให้ระบบมีประสิทธิภาพดียิ่งขึ้น",MIS
"การพัฒนาระบบคัดแยกอีเมล์ตามโครงงานโดยใช้ระบบการจัดการอีเมล์ได้จัดสร้างขึ้น
 เพื่อเป็นเครื่องมือใช้ในการอำนวยความสะดวกแก่องค์กรที่มีระบบอีเมล์ใช้ในการติดต่องานเป็น
 จำนวนมากระบบสามารถช่วยลดภาระให้แก่พนักงานในการคัดแยกอีเมล์และง่ายแก่การ
 ติดตามความก้าวหน้าของโครงงานทำให้ลดเวลาการทำงานและลดความผิดพลาดที่จะเกิดขึ้น
 ลักษณะของการอำนวยความสะดวกของระบบที่สร้างขึ้นประกอบด้วยการใช้อีเมล์แอดเดรสใน
 การแยกรายชื่อลูกค้าและใช้หัวเรื่องอีเมล์ในการดัดแยกโครงงานมีระบบบันทึกสถานะของ
 โครงงานและขั้นตอนการดำเนินงานขั้นตอนการทำงานของระบบเมื่อผู้ใช้งานรับอีเมล์ผู้ใช้งาน
 สามารถทราบชื่อลูกค้าโครงงานที่ทำกับลูกค้าสถานะของโครงงานความก้าวหน้าของ
 โดรงงานขั้นตอนการทำงานในโดรงงานและสถานะผู้รับผิดชอบโครงงานบันทึกการ
 ดำเนินงานหรือเมื่อผู้ใช้งานต้องการค้นหาตรวจสอบอีเมล์ผู้ใช้งานสามารถค้นหาได้จาก
 รายชื่อลูกค้ารายชื่อโครงงานได้ในทันทีการพัฒนาระบบจัดทำด้วยโปรแกรมPowerBuilder
 และใช้ระบบจัดการฐานข้อมูลOracleในการจัดเก็บควบคุมฐานข้อมูลเทคนิคที่ใช้ในการดัด
 แยกอีเมล์และโครงงานใช้วิธีการกรองรายชื่อผู้ส่งหัวเรื่องอีเมล์รายชื่อผู้รับหัวเรื่องอีเมล์นำไป
 ค้นหาจากข้อมูลโครงงานและรายชื่อผู้รับนำไปค้นหาจากข้อมูลพนักงานจากผลการทดสอบ
 ระบบสามารถคัดแยกอีเมล์จากโครงงานและอีเมล์แอดเดรสของลูกค้าได้อย่างรวดเร็วผู้ใช้งาน
 สามารถตรวจสอบสถานะโครงงานและบันทึกผลการทำงานลงในระบบทำให้เกิดความสะดวก
 ในการติดตามงานและลดเวลาการทำงานของผู้ใช้งานได้เป็นอย่างมาก",MIS
"ระบบการจัดการเอกสารเพื่อการประกันคุณภาพการศึกษาจัดทำขึ้นเพื่อใช้ในการจัดเก็บและ
รวบรามข้อมูลเอกสารและข้อมูลการประกันคุณภาพการศึกษาของแต่ละองค์ประกอบอย่างมีระบบ
เนื่องจากในการตรวจสอบการดำเนินงานของงานประกันคุณภาพการศึกษาสามารถสืบค้น
ตรจสอบเอกสารต่างๆที่เป็นหลักฐานของการดำเนินงานเอกสารทั้งรูปแบบของไฟล์PDFหรือ
ไฟล์รูปภาพต่างๆซึ่งระบบที่พัฒนาขึ้นสามารถเก็บเอกสารจำแนกเอกสารเพื่อตรวจสอบข้อมูลได้
ง่ายขึ้นระบบจัดการเอกสารเพื่องานประกันคุณภาพพัฒนาด้วยภาษาPHPสามารถเพิ่มลบแก้ไข
เอกสารในระบบไว้ด้วยการสแกนเอกสารเพื่อจัดการให้อยู่ในรูปของไฟล์PDFสามารถเรียกดู
เอกสารของแต่ละองค์ประกอบเป็นไฟล์PDFและเรียกดูรูปภาพกิจกรรมต่างๆได้นอกจากนี้ระบบ
จัดการเอกสารเพื่องานประกันคุณภาพยังนำเสนอถึงปรัชญาปณิธานวัตถุประสงค์และหลักสูตร
การเรียนการสอนของภาควิชาคอมพิวเตอร์ศึกษาหลังจากที่ได้มีการทดสอบระบบพบว่าโปรแกรมสามารถจัดเก็บราบรวมช้อมูลประมวลผล
แก้ไขรวมทั้งสามารถจัดการข้อมูลและแสดงผลในรูปแบบของเว็บไซค์ซึ่งผลการทำงานตรงตาม
ขอบเขตและวัตถุประสงค์ที่กำหนด",MIS
"โครงงานปริญญานิพนธ์นี้เป็นการออกแบบและพัฒนาระบบงานฐานข้อมูลเพื่อช่วยงาน
 บริหารจัดการวัสดุ-ครุภัณฑ์ภายในสถานีอนามัยตำบลบ่อแร่บนระบบLocalAreaNetwork
 (LAN)ซึ่งมีเครื่องคอมพิวเตอร์(Server)เก็บฐานข้อมูลของระบบและมีเครื่องคอมพิวเตอร์(Client)
 ประมวลผลโปรแกรมโดยผู้ใช้งานสามารถเข้าใช้งานได้แบ่งตามระดับผู้ใช้งานโดยระดับของ
 ผู้ใช้งานนั้นมี3ระดับได้แก่ผู้ดูแลระบบเจ้าหน้าที่พัสดุเจ้าหน้าที่ทั่วไปแต่ละระดับจะมี
 ความสามารถในการจัดการข้อมูลที่แตกต่างกันลักษณะของงานที่สามารถกระทำได้นั้นได้แก่การ
 เพิ่มลบแก้ไขข้อมูลหลักการบันทึกข้อมูลวัสดุการบันทึกการเบิกจ่ายวัสดุการเพิ่มลบแก้ไข
 ข้อมูลครุภัณฑ์การบันทึกการยืม-คืนรุภัณฑ์การบันทึกการส่งซ่อมและรายละเอียดการซ่อม
 ครุภัณฑ์การบันทึกการเปลี่ยนแปลงครุภัณฑ์ออกรายงานการแจ้งเตือนวัสดุใกล้หมดสต็อกหรือ
 หมดอายุการใช้งานการแจ้งเตือนครุภัณฑ์ใกล้หมดอายุการใช้งาน
 ระบบได้รับการพัฒนาโดยโปรแกรมMicrosoftSQLServer2000ในการสร้างฐานข้อมูลและ
 ใช้งานร่วมกับภาษาC#ผลที่ได้จากระบบสามรถทำงานได้ถูกต้องตามขอบเขตที่ได้กำหนดไว้",MIS
