 ชื่อไทย,Title Eng,ชื่อผู้ทำ1,นามสกุลผู้ทำ1,ชื่ิอผู้ทำ2,นามสกุลผู้ทำ2,ชื่ิอผู้ทำ3,นามสกุลผู้ทำ3,อาจารย์ที่ปรึกษา,ที่ปรึกษาร่วม1,ที่ปรึกษาร่วม2,ประเภท,Thesis,ประเภทของโปรเจค,ภาควิชา,ปีการศึกษา,บทคัดย่อ
สื่อแอนิเมชั่นสองมิติบนระบบปฏิบัติการแอนดรอยด์ เรื่อง โครงการส่วนพระองค์ สวนจิตรลดา,,ชลิตา,ทองดี,,,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,สื่อแอนิเมชันสองมิติบนระบบปฏิบัติการแอนดรอยด์ เรื่อง โครงการส่วนพระองค์ สวนจิตรลดาได้จัดทำขึ้นโดยมีวัตถุประสงค์เพื่อพัฒนาสื่อแอนิเมชันสองมิติ ในลักษณะอินโฟกราฟิกส์ เรื่องของโครงการส่วนพระองค์ สวนจิตรลดา และโครงการย่อยต่าง ๆ ได้แก่ ความเป็นมาของโครงการส่วนพระองค์ สวนจิตรลดา และลักษณะการดำเนินการของแต่ละโครงการย่อย รวมทั้งสิ้น 6 แอนิเมชันซึ่งผู้จัดทำได้นำข้อมูลที่ได้จากการศึกษาและรวบรวมข้อมูลที่เกี่ยวข้อง มาใช้ในการพัฒนาแอนิเมชันนี้โดยแอนิเมชันแต่ละตอนใช้เวลาในการนำเสนอประมาณ 1 ถึง 1.30 นาที และสามารถรับชมได้บนอุปกรณ์ที่ใช้ระบบปฏิบัติการแอนดรอยด์ส่วนของโปรแกรมที่ใช้ในการพัฒนา ได้แก่ โปรแกรมออดาซิตี้ (Audacity) ใช้สำหรับการอัดเสียงและตัดแต่งเสียงพากย์สำหรับแอนิเมชัน โปรแกรมอะโดบี แฟลช (Adobe Flash) ใช้สำหรับสร้างแอนิเมชัน โปรแกรมอะโดบี แอร์ (Adobe Air) ใช้ติดตั้งในอุปกรณ์สมาร์ทโฟน หรือแท็บเล็ตสำหรับการแสดงผลของแอนิเมชันผลการดำเนินงานของสื่อแอนิเมชันสองมิติบนระบบปฏิบัติการแอนดรอยด์ เรื่อง โครงการส่วนพระองค์ สวนจิตรลดา สามารถทำงานได้อย่างถูกต้องตามวัตถุประสงค์และขอบเขตของปริญญานิพนธ์ที่กำหนดไว้
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์ วิชาโครงสร้างระบบคอมพิวเตอร์,A development of computer assisted instruction (CAI) using procedural simulation technique via android operation system for computer systems organization subject,กาญจนา,เต็งเก,ศิริพร,เนตรวงษ์,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,"โครงงานเรื่องการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์ วิชาโครงสร้างระบบคอมพิวเตอร์มีวัตถุประสงค์เพื่อให้ผู้เรียนสามารถเรียนรู้บทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์วิชาโครงสร้างระบบคอมพิวเตอร์ ทำให้มีความเข้าใจในเนื้อหาวิชามากยิ่งขึ้น เพราะจำลองสถานการณ์ในขั้นตอนการทำงานให้เห็นชัดเจนและมีการโต้ตอบกับผู้เรียน โดยโปรแกรมที่ใช้ในการพัฒนา ได้แก่ Adobe Flash, Adobe Audition, Adobe AIR และภาษา Action Script 3.0โดยอาจารย์สามารถใช้เป็นสื่อการเรียนรู้เพื่อให้ความรู้เกี่ยวกับเนื้อหาวิชาโครงสร้างระบบคอมพิวเตอร์ผ่านระบบปฏิบัติการแอนดรอยด์โดยมีเนื้อหาจำนวน 2 หน่วยการเรียนผลการดำเนินงานการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์ วิชาโครงสร้างระบบคอมพิวเตอร์สามารถนำไปใช้เป็นสื่อการเรียนรู้ในวิชาโครงสร้างระบบคอมพิวเตอร์ได้"
การพัฒนาสื่อการสอนในรูปแบบการ์ตูนแอนิเมชันเพื่อเสริมการเรียนรู้คำศัพท์ภาษาอังกฤษ สำหรับนักเรียนชั้นประถมศึกษาปี ที่ 4,The development of animation educational media to enhance learning of English for prathomsuksa 4 students,กฤษฎา,ทองกำเหนิด,,,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,โครงงานเรื่องการพัฒนาสื่อการสอนในรูปแบบการ์ตูนแอนิเมชันเพื่อเสริมการเรียนรู้คำศัพท์ภาษาอังกฤษ สำหรับนักเรียนชั้น ประถมศึกษาปีที่4 ประกอบด้วยคำ ศัพท์ทั้งหมด 8 หมวด ได้แก่หมวดงานบ้าน หมวดอาหาร หมวดอาชีพ หมวดกีฬา หมวดสถานที่ หมวดกิริยาอาการ หมวดอุปกรณ์กีฬา และหมวดเครื่องใช้สำนักงาน ซึ่งเป็นคำศัพท์ที่ผู้เรียนสามารถพบเห็นได้ในชีวิตประจำวันและนอกจากผู้เรียนจะได้เรียนรู้คำศัพท์และได้รับความสนุกไปกับการเรียนแล้วผู้เรียนยังสามารถฝึกออกเสียงคำศัพท์นั้น ๆ ได้อีกด้วยผลการดำเนินงานการพัฒนาสื่อการสอนในรูปแบบการ์ตูนแอนิเมชันเพื่อเสริมการเรียนรู้คำศัพท์ภาษาอังกฤษ สำหรับนักเรียนชั้น ประถมศึกษาปีที่ 4 สามารถนำไปใช้เป็นสื่อการสอนเพื่อเสริมการเรียนรู้คำศัพท์ภาษาอังกฤษตามวัตถุประสงค์และขอบเขตที่กำหนดไว้
การพัฒนาสื่อการเรียนในรูปแบบปฏิสัมพันธ์ เพื่อเสริมทักษะการเรียนรู้วิทยาศาสตร์ สำหรับนักเรียนชั้นประถมศึกษาปีที่ 2 บนระบบปฏิบัติการแอนดรอยด์,The development of interaction educational media to enhance learning skill of science for grade 2 on the android operating system,กาญจนาพร,อนุกานนท์,,,,,ธันว์รัชต์ สินธนะกุล,บุญลาภ อนุกานนท์,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,โครงงานเรื่องการพัฒนาสื่อการเรียนในรูปแบบปฏิสัมพันธ์ เพื่อเสริมทักษะการเรียนรู้วิทยาศาสตร์ สำหรับนักเรียนชั้นประถมศึกษาปีที่ 2 บนระบบปฏิบัติการแอนดรอยด์ (Android)จัดทำขึ้นเพื่อใช้เป็นสื่อประกอบการเรียนการสอนวิชาวิทยาศาสตร์ สำหรับนักเรียนชั้นประถมศึกษาปีที่ 2 หรือผู้ที่สนใจ มีหน่วยการเรียนรู้ทั้งหมด 5 หน่วย ได้แก่ หน่วยการเรียนรู้ที่ 1 ชีวิตพืช ชีวิตสัตว์หน่วยการเรียนรู้ที่ 2 การดูแลพืชและสัตว์ หน่วยการเรียนรู้ที่ 3 เรียนรู้ตนเอง หน่วยการเรียนรู้ที่ 4 ของเล่นของใช้ของเรา หน่วยการเรียนรู้ที่ 5 สนุกกับแรงและพลังงาน โดยเสนอในรูปแบบของการ์ตูนแอนิเมชัน 2 มิติ ซึ่งมีทางเลือก 2 ทางเลือก คือ ทางเลือกที่ผิด และทางเลือกที่ถูก เพื่อให้ผู้เรียนมีส่วนร่วมในการใช้สื่อการเรียนทำให้ผู้เรียนเกิดความเข้าใจในเนื้อหามากยิ่งขึ้น และอาจารย์สามารถใช้เป็นสื่อประกอบการเรียนการสอนวิชาวิทยาศาสตร์ได้ผลการดำเนินงานการพัฒนาสื่อการเรียนในรูปแบบปฏิสัมพันธ์ เพื่อเสริมทักษะการเรียนรู้วิทยาศาสตร์ สำหรับนักเรียนชั้นประถมศึกษาปีที่ 2 บนระบบปฏิบัติการแอนดรอยด์ (Android) สามารถนำไปใช้เป็นสื่อประกอบการเรียนการสอนตามวัตถุประสงค์และขอบเขตที่กำหนดไว้
การพัฒนาบทเรียนบนเครือข่ายอินเทอร์เน็ต รายวิชา การเขียนโปรแกรมภาษาปาสคาล โดยใช้เทคนิคกระบวนการจัดการเรียนรู้แบบวงจรพีดีซีเอ (PDCA) ระดับชั้นมัธยมศึกษาปีที่ 4โรงเรียนหอวัง ปทุมธานี,,รณกฤติ,แสนพรหม,,,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,"ปัญหาพิเศษฉบับนี้เป็นการวิจัยเชิงทดลอง มีวัตถุประสงค์ 1) เพื่อพัฒนาบทเรียนบนเครือข่าย
อินเทอร์เน็ต โดยใช้เทคนิคกระบวนการจัดการเรียนรู้แบบวงจรพีดีซีเอ (PDCA) 2) เพื่อหา
ประสิทธิภาพของบทเรียนที่พัฒนาขึ้น 3) เพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียนก่อนและหลังเรียน
ด้วยบทเรียนที่พัฒนาขึ้น 4) เพื่อสอบถามความพึงพอใจของผู้เรียนจากบทเรียนที่พัฒนาขึ้น เครื่องมือ
ที่ใช้ในการทดลองครั้งนี้คือ บทเรียนบนเครือข่ายอินเทอร์เน็ต แบบทดสอบวัดผลสัมฤทธิ์ทางการเรียน
และแบบสอบถามความพึงพอใจของผู้เรียน กลุ่มตัวอย่างที่ใช้ในการวิจัย คือ นักเรียนชั้นมัธยมศึกษาปี
ที่ 4 โรงเรียนหอวัง ปทุมธานี ภาคเรียนที่ 2 ปีการศึกษา 2557 จำนวน 35 คน โดยใช้วิธีการคัดเลือก
แบบเจาะจง วิธีดำเนินการวิจัย เริ่มจากศึกษาข้อมูลและหลักสูตรรายวิชา กำหนดประชากรและกลุ่ม
ตัวอย่าง กำหนดแบบแผนการทดลอง พัฒนบทเรียนบนเครือข่ายอินเทอร์เน็ต โดยผู้เรียนต้องทำ
แบบทดสอบก่อนเรียน ใช้บทเรียนบนเครือข่ายอินเทอร์เน็ต ทำแบบทดสอบหลังเรียน และทำ
แบบสอบถามความพึงพอใจ จากนั้นนำข้อมูลที่ได้มาทำการวิเคราะห์ข้อมูลตามหลักสถิติ
ผลการวิจัยพบว่า 1) บทเรียนบนเครือข่ายอินเทอร์เน็ตที่พัฒนาขึ้นมีประสิทธิภาพ
82. 12/80.93 ซึ่งสูงกว่าเกณฑ์ 80/80 ที่ตั้งไว้ 2) ผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วย
บทเรียน หลังเรียนสูงกว่าก่อนเรียน อย่างมีนัยสำคัญทางสถิติที่ระดับ .05 3) ความพึงพอใจของ
นักเรียนที่มีต่อบทเรียนบนเครือข่ายอินเทอร์เน็ตอยู่ในระดับมาก ( X = 4.45 , S.D. = 0.19)"
การพัฒนาโปรแกรมนำเสนอนิทานพื้นบ้านเรื่องเมืองลับแล,The development of laplae city fable presentation,สิทธิพงศ์,คำคง,นพรัตน์,ลำปุก,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),SW,ภาควิชาคอมพิวเตอร์ศึกษา,2554,
การพัฒนาบทเรียนบนแท็บเล็ตแบบมีปฏิสัมพันธ์ รายวิชาพื้นฐานเทคโนโลยีสารสนเทศและการสื่อสาร ระดับชั้นประถมศึกษาปีที่ 4โรงเรียนวัดหนองตะเม่,The Development of Interactive Computer Assisted Instruction on Tablet on Information Technology and Communication Subject for Prathom 4 Students of  Watnongtakae School,ทรงวุฒิ,ศรีปรีชา,,,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,"การวิจัยในครั้งนี้เป็นการวิจัยเชิงทดลองโดยมีวัตถุประสงค์เพื่อ 1) ฒนาบทเรียนบน
แท็บเล็ตแบบมีปฏิสัมพันธ์ รายวิชาพื้นฐาน เทคโนโลยีสารสนเทศและกรสื่อสาร ระดับ
ชั้นประถมศึกษาปีที่ 4 โรงเรียนวัดหนองตะเม่ 2) วัดประสิทธิภาของบทเรียนบทแท็บเล็ต
ที่พัฒนาขึ้น และ 3) เปรียบเทียบผลสัมฤทธิ์ทางการเร็นของผู้เรียนะหว่างก่อนเรียนกับหลังเรียน
โดยใช้บทเรียนที่พัฒนาขึ้น โดยนำมาทดลองกับกลุ่มตัวอย่าง คือ นักเรียนชั้นประถมศึกษาปีที่ 4
โรงเรียนวัดหนองตะเฆ่ จำนวน 18 คน ซึ่งได้โดยการเลือกแบบเฉพาะเจาะจง และใช้แบบแผน
การวิจัยแบบกลุ่มเดียว สอบก่อนเรียนและหลังเรียนด้วยบทเรียนบนแท็บเล็ต
ผลการวิจัยพบว่า 1) บทรียนบนแบเล็ตที่พัฒนาขึ้นมีประสิทธิภาพตามเกณฑ์
มาตรฐานของเมกุยแกนส์เท่ากับ 1 2 ซึ่งสูงกว่าเกณฑ์ 1.00 ตามสมมติฐานที่ตั้งไว้
2) ผลสัมฤทธิ์ทางการเรียนของผู้เรียนหลั่งเรียนด้วยบทเรียนบนแท็บเล็ตที่พัฒนาขึ้นสูงกว่าก่อน
เรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ .05"
การพัฒนาบทเรียนคอมพิวเตอร์บนระบบเครือข่ายอินเทอร์เน็ต โดยใช้รูปแบบการสอนทักษะปฏิบัติของเดวีส์ ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับด้าน เรื่องการใช้โปรแกรมไมโครซอฟต์เพาเวอร์พอยต์ สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 2,"The Development of Web-Based Instruction on Microsoft PowerPoint, using Davies' Instruction Model and Flipped Classroom Technique, for Mattayomsuksa 2 Students.",ธนารักษ์,สารเถื่อนแก้ว,,,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2557,"การศึกษาวิจัยครั้งนี้เป็นการวิจัยเชิงทดลองมีวัตถุประสงค์เพื่อ 1) พัฒนาบทเรียนคอมพิวเตอร์
บนระบบเครือข่ายอินเทอร์เน็โดยใช้รูปแบบการสอนทักษะปฏิบัติของเดวีส์ ร่วมกับเทคนิคการสอน
แบบห้องเรียนกลับด้าน เรื่องการใช้โปรแกรมไมโครชอฟต์เพาเวอร์พอยต์ สำหรับนักเรียนชั้น
มัธยมศึกษาปีที่ 2  2) หาประสิทธิภาพของบทเรียนคอมพิวเตอร์บนเครื่อข่ายอินเทอร์เน็ต
3) เปรียบเทียบผสสัมฤทธิ์ทางการเรียนของผู้เรียนก่อนและหลังเรียนด้วยบทเรียนที่พัฒนาขึ้นและ
4) พัฒนาทักษะปฏิบัติของผู้เรียนทั้งนี้เพื่อแก้ไขปัญหาผู้เรียนขาดทักษะการปฏิบัติ และไม่สามารถ
เชื่อมโยงทักษะย่อยๆ เป็นทักษะที่สมบูรณ์ ผู้สอนต้องเสียเวลาในการสาธิตการใช้งานเป็นรายบุคคล
และเนื่องจากมีผู้เรียนเป็นจำนวนมากทำให้ผู้สอนไม่สามารถดูแลและชี้แนะได้อย่างทั่วถึง ผู้วิจัยจึงใช้
รูปแบบการสอนทักษะปฏิบัติของเตวีส์มาประกอบการเรียนการสอน ซึ่งประกอบด้วย 5 ขั้นตอน
ได้แก่ 1) ขั้นสาธิตทักษะการปฏิบัติตั้งแต่ต้นจนจบ 2) ขั้นสาธิตทักษะย่อยและให้ผู้เรียนปฏิบัติตามไป
ทีละส่วน 3) ขั้นให้ผู้เรียนปฏิบัติทักษะย่อยโดยไม่มีการสาธิตหรือแบบอย่างให้ดู 4) ขั้นให้เทคนิค
วิธีการและ 5) ขั้นให้ผู้เรียนเชื่อมโยงทักษะย่อยๆ เป็นทักษะที่สมบูรณ์ต่อเนื่องจนจบ ซึ่งบทเรียนจะมี
เสียงบรรยายและมีแบบฝึกปฏิบัติแบบปฏิสัมพันธ์ เพื่อใช้โต้ตอบผู้เรียนกลุ่มตัวอย่างที่ใช้ในการวิจัย
ครั้งนี้เป็นนักเรียนชั้นมัธยมศึกษาปีที่ 2/1 โรงเรียนด่นไซยวิทยา สังกัดองค์การบริหารส่วนจังหวัด
แพร่ ภาคเรียนที่ 2 เลือกแบบเจาะจง จำนวน 23 คน เครื่องมือที่ช้ ได้แก่ บทเรียนคอมพิวเตอร์บน
ระบบเครือข่ายอินเทอร์น็ต โดยใช้รูปแบบการสอนทักษะปฏิบัติของเดวีส์ เรื่องการใช้โปรแกรม
ไมโครชอฟต์เพาเวอร์พอยส์ ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับด้านจำนวน 5 เรื่อง
แบบทดสอบก่อนและหลังเรียน และแบบประเมินทักษะปฏิบัติ
ผลการวิจัยพบว่า 1) ผลการพัฒนาบทเรียนคอมพิวเตอร์บนระบบเครือข่ายอินเทอร์เน็ตมี
จำนวน 5 เรื่อง ผลการประเมินจากผู้เชี่ยวชาญต้านเนื้อหามีความคิดเห็นต่อบทเรียนที่พัฒนาขึ้นอยู่
ในระดับดีมาก ( X = 4.71 และ S.D. = 0.46) และผลการประเมินจากผู้เชี่ยวชาญด้านเทคนิคมี
ความคิดเห็นต่อบทเรียนที่พัฒนาขึ้นอยู่ในระดับดี ( X = 4.44 และ S.D. = 0.50)
2) ประสิทธิภาพบทเรียนคอมพิวเตอร์บนเครื่อข่ายอินเทอร์เน็ต โดยใช้รูปแบบการสอนทักษะปฏิบัติ
ของเตวีส์ ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับด้านที่พัฒนขึ้มีประสิทธิภาพตามเกณฑ์ โดยได้
ค่าเฉลี่ย 81.40/82.60 ถือว่าบทเรียนที่พัฒนาขึ้นมีประสิทธิภาพสูงกว่าเกณฑ์ที่กำหนด 3) การ
เปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วยบทเรี่ยนคอมพิวเตอร์บนเครือข่าย
อินเทอร์เน็ต โดยใช้รูปแบบการสอนทักษะปฏิบัติของเดวีส์ ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับ
ด้าน พบว่าผู้เรียนมีคะแนนเฉลี่ยหลังเรียนเท่ากับ 14.87 สูงกว่าคะแนนเฉลี่ยก่อนเรียนซึ่งเท่ากับ 7.57
แสดงว่าคะแนนเฉลี่ยหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ .05 4) การพัฒนา
ทักษะปฏิบัติของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์บนเครือข่ายอินเทอร์เน็ต โดยใช้รูปแบบการ
สอนทักษะปฏิบัติของเตวีส์ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับต้านพบว่าผู้เรียนมีทักษะในการ
ปฏิบัติโดยรวม อยู่ในระดับดีมาก ( X - 3.64 และ S.D. = 0.93)
2) ประสิทธิภาพบทเรียนคอมพิวเตอร์บนเครื่อข่ายอินเทอร์เน็ต โดยใช้รูปแบบการสอนทักษะปฏิบัติ
ของเตวีส์ ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับด้านที่พัฒนขึ้มีประสิทธิภาพตามเกณฑ์ โดยได้
ค่าเฉลี่ย 81.40/82.60 ถือว่าบทเรียนที่พัฒนาขึ้นมีประสิทธิภาพสูงกว่าเกณฑ์ที่กำหนด 3) การ
เปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วยบทเรี่ยนคอมพิวเตอร์บนเครือข่าย
อินเทอร์เน็ต โดยใช้รูปแบบการสอนทักษะปฏิบัติของเดวีส์ ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับ
ด้าน พบว่าผู้เรียนมีคะแนนเฉลี่ยหลังเรียนเท่ากับ 14.87 สูงกว่าคะแนนเฉลี่ยก่อนเรียนซึ่งเท่ากับ 7.57
แสดงว่าคะแนนเฉลี่ยหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ .05 4) การพัฒนา
ทักษะปฏิบัติของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์บนเครือข่ายอินเทอร์เน็ต โดยใช้รูปแบบการ
สอนทักษะปฏิบัติของเตวีส์ร่วมกับเทคนิคการสอนแบบห้องเรียนกลับต้านพบว่าผู้เรียนมีทักษะในการ
ปฏิบัติโดยรวม อยู่ในระดับดีมาก ( X - 3.64 และ S.D. = 0.93)"
เกมเสริมทักษะการเรียนรู้วิชาฟิสิกส์ระดับชั้นมัธยมศึกษาชั้นปีที่ 4 บนระบบปฏิบัติการแอนดรอยด์,Game for enhancing physic skills for grade 10 students on android operating system,อิสริยา,สานารีย์,ฉัตรมงคล,ขันนาค,,,ธันว์รัชต์ สินธนะกุล,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),GM,ภาควิชาคอมพิวเตอร์ศึกษา,2557,เกมเสริมทักษะการเรียนรู้วิชาฟิสิกส์ระดับชั้นมัธยมศึกษาชั้นปีที่ 4 บนระบบปฏิบัติการแอนดรอยด์ได้จัดทำขึ้นโดยมีวัตถุประสงค์เพื่อเสริมทักษะวิชาฟิสิกส์ของนักเรียนระดับชั้นมัธยมศึกษาชั้นปีที่ 4 ซึ่งผู้จัดท าได้นำข้อมูลที่เกี่ยวข้องที่ได้จากการศึกษาและรวบรวมข้อมูลมาจัดทำในรูปแบบของเกมบนระบบปฏิบัติการแอนดรอยด์ในส่วนของเนื้อหาของเกมจะประกอบด้วย เรื่องของแรงและกฎการเคลื่อนที่การเคลื่อนที่แนวตรง และการเคลื่อนที่แบบโพรเจกไทล์ซึ่งเป็นเรื่องพื้นฐานที่จำเป็นต้องใช้ในวิชาฟิสิกส์โปรแกรมที่ใช้ในการพัฒนา ได้แก่ โปรแกรม Adobe Photoshop CS6 ซึ่งใช้ในการวาดภาพประกอบ โปรแกรม Adobe Flash CS6 ซึ่งใช้ในการสร้างเกม และโปรแกรม Adobe AIR ซึ่งใช้ในการสร้างไฟล์.apk สำหรับติดตั้งเกมบนแอนดรอยด์ผลการดำเนินงานเกมเสริมทักษะการเรียนรู้วิชาฟิสิกส์ระดับชั้นมัธยมศึกษาชั้นปีที่ 4 บนระบบปฏิบัติการแอนดรอยด์สามารถทำงานได้อย่างถูกต้องตามวัตถุประสงค์และขอบเขตของปริญญานิพนธ์ที่กำหนดไว้
การพัฒนาระบบแนะนำระยะเวลาการเกิดมะเร็งกำเริบ(Cancer recurrence) ของผู้ป่วยมะเร็งในโรงพยาบาลศิริราช โดยใช้เทคนิคเหมืองข้อมูล,"The development of system for estimation of cancer recurrence duration for cancer patient in Siriraj hospital, using data mining technique",ศราวุธ,แดงมาก,,,,,ธันว์รัชต์ สินธนะกุล,ธัญญรัตน์ น้อมพลกรัง,สุวนิตย์ ธีระศักดิ์วิชยา,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),MIS,ภาควิชาคอมพิวเตอร์ศึกษา,2557,"ปัญหาพิเศษนี้มีวัตถุประสงค์เพื่อพัฒนาระบบประมาณการเวลาการเกิดมะเร็งกำเริบ รวมทั้งประเมิน
คุณภาพระบบ และประเมินความพึงพอใจของผู้ใช้งาน ซึ่งมีการนำปัจจัยที่คาดว่าจะส่งผลต่อระยะเวลาการเกิด
มะเร็งกำเริบ 11 ด้านของผู้ป่วยในแต่ละรายคือ อายุ เพศ อาชีพ จังหวัด รหัสมะเร็งปฐมภูมิ รหัสมะเร็งกำเริบ
รหัสวินิจฉัยทงจุลกายวิภาค รหัสโรคร่วม หัตถการทางการแพทย์ที่เกี่ยวข้องกับโรคมะเร็ง ระยะโรค และอายุ
มะเร็งกำเริบ โดยเลือก 3 กลุ่มโรคมะเร็งที่พบบ่อยของโรงพยาบาลศิริราชในปี 2556 ได้แก่ 1) กลุ่มมะเร็งเต้านม
จำนวน 2.728 ข้อมูล 2) กลุ่มมะเร็งทางเดินอาหารส่วนล่าง จำนวน 1,894 ข้อมูล 3) กลุ่มมะเร็งระบบสืบพันธุ์
สตรีรวมมะเร็งปากมดลูก จำนวน 8.356 ข้อมูล ย้อนหลังไป 20 ปี ตั้งแต่มกราคม 253 - ธันวาคม 2556
ผ่านกระบวนการทำเหมืองข้อมูล เพื่อทดสอบประสิทธิภาพแบบจำลองพยากรณ์ฯซึ่งผลจากการทดสอบ
ประสิทธิภาพพบว่า แบบการวิเคราะห์เพื่อนบ้านใกล้ที่สุด เค-เนียร์เลส เนเบอร์ (K.Nearest Neighbour) หรือ
IBk ให้ผลดีกว่าการเรียนรู้ด้วยต้นไม้ตัดสินใจ ดีซีชั่นทรี (Decsion Tree) และการจัดกลุ่มที่ใช้หลักความน่าเป็น
นาอีฟเบย์ (Naive Bayes) คือมีค่าความแม่นยำ (Precision)  และค่าความระลึก (Recall) มากกว่า 80
เปอร์เซ็นต์ ซึ่งแบบจำลองที่ดีที่สุดนี้ถูกนำมาพัฒนาระบบแนะนำระยะเวลาการเกิดมะเร็งกำเริบฯ ตามวงจร
การพัฒนาระบบ SDLC (System  Development Life Cycle) ซึ่งผลจากการประเมินคุณภาพของระบบโดย
ผู้เชี่ยวชาญพบว่า การประมวลผลและความถูกต้องอยู่ในระดับดีมาก (X = 46, S.D. = 0.5) ความสะดวกและ
ความปลอดภัยอยู่ในระดับดีมาก (X= 4.5, SD. = 0.4 ผลการประเมินความพึงพอใจโดยผู้ใช้งานระบบอยู่ใน
ระดับดีมาก (X= 4.7, S.D. = 0.5)"
